报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2010-12-31,
营业总收入(万元),868,607,316,2953,1958,860,7901,3832,2509,587,1121,472,938,444,840,730,644,
营业收入(万元),868,607,316,2953,1958,860,7901,3832,2509,587,1121,472,938,444,840,730,644,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业总成本(万元),1320,920,510,2906,2344,1327,7712,3807,3373,1311,2356,1484,2240,1211,2113,2167,2375,
营业成本(万元),747,515,291,1719,1208,739,5293,2625,1401,324,472,250,460,234,317,164,162,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业税金及附加(万元),3,3,2,12,6,1,12,2,21,17,63,26,53,25,31,25,23,
销售费用(万元),--,--,--,139,239,140,881,505,144,--,--,--,--,--,--,--,0,
管理费用(万元),572,404,218,1031,786,428,1385,696,1775,963,1820,680,890,426,711,924,1138,
财务费用(万元),-3,-2,-1,22,25,19,12,-12,-13,-0,-1,527,1053,527,1054,1054,1053,
资产减值损失(万元),--,--,--,-18,80,--,129,-8,45,6,3,--,-216,--,--,--,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
投资收益(万元),--,--,--,358,652,9,61,4,--,--,--,--,--,--,--,--,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,
营业利润(万元),-452,-313,-195,403,264,-458,250,29,-864,-724,-1236,-1012,-1302,-768,-1273,-1437,-1697,
营业外收入(万元),20,10,2,32,17,2,7,3,162606,162565,86717,520,6,6,1,0,1,
营业外支出(万元),0,0,0,0,--,--,3,0,0,--,3868,--,--,--,--,0,6,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,3868,--,--,--,--,--,0,
利润总额(万元),-432,-303,-193,435,281,-456,253,32,161741,161841,81613,-492,-1296,-762,-1272,-1437,-1701,
所得税费用(万元),--,--,--,--,--,--,10,--,39,--,--,--,--,--,--,--,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
净利润(万元),-432,-303,-193,435,281,-456,243,32,161702,161841,81613,-492,-1296,-762,-1272,-1437,-1701,
归属于母公司所有者的净利润(万元),-432,-303,-193,435,286,-456,243,32,161702,161708,81613,-492,-1296,-762,-1272,-1437,-1701,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),--,--,--,--,-6,--,--,--,--,134,--,--,--,--,--,--,0,
基本每股收益,-0.01,-0.01,-0,0.01,0.01,-0.01,0.01,0,4.85,4.85,2.45,-0.02,-0.04,-0.02,-0.04,--,-0.05,
稀释每股收益,-0.01,-0.01,-0,0.01,0.01,-0.01,0.01,0,4.85,4.85,2.45,--,-0.04,--,-0.04,--,0,
